pl_name,hostname,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_insol,pl_eqt,st_teff,st_rad,st_mass,discoverymethod,disc_year,pl_controv_flag,sy_dist
HATS-6 b,HATS-6,3.3252725,0.03623,11.186582,101.38777,47.3315,712.8,3724.0,0.57,0.574,Transit,2015.0,0,169.318
HATS-60 b,HATS-60,3.560829,0.04708,12.923977,210.40346,903.9,1528.0,5688.0,1.46,1.097,Transit,2018.0,0,486.474
HATS-61 b,HATS-61,7.817953,0.07908,13.394755,1080.622,374.2,1226.1,5542.0,1.664,1.076,Transit,2018.0,0,679.761
HATS-62 b,HATS-62,3.2768837,0.04163,11.825495,56.89157,387.4,1237.0,5416.0,0.933,0.896,Transit,2018.0,0,523.067
HATS-63 b,HATS-63,3.0566527,0.04026,13.529263,305.1168,634.1,1398.3,5627.0,1.07,0.931,Transit,2018.0,0,623.232
HATS-64 b,HATS-64,4.908897,0.06562,18.819911,305.1168,1711.0,1793.0,6554.0,2.113,1.564,Transit,2018.0,0,1080.15
HATS-65 b,HATS-65,3.105161,0.04497,16.824709,260.93843,1178.0,1634.0,6277.0,1.31,1.257,Transit,2018.0,0,493.32
HATS-66 b,HATS-66,3.1414391,0.04714,15.815899,1694.0339,2637.0,1998.0,6626.0,1.841,1.411,Transit,2018.0,0,1477.98
HATS-67 b,HATS-67,1.6091788,0.03032,18.887165,460.8535,3821.0,2193.0,6594.0,1.441,1.435,Transit,2018.0,0,960.109
HATS-68 b,HATS-68,3.5862202,0.05071,13.809488,410.0007,1521.0,1741.0,6147.0,1.748,1.351,Transit,2018.0,0,603.955
HATS-69 b,HATS-69,2.2252577,0.03211,10.592505,183.38791,466.6,1295.7,5137.0,0.8785,0.892,Transit,2018.0,0,414.537
HATS-7 b,HATS-7,3.185315,0.04012,6.310667,38.1396,211.6178,1084.0,4985.0,0.815,0.849,Transit,2015.0,0,240.707
HATS-70 b,HATS-70,1.8882378,0.03632,15.513256,4100.007,9110.0,2730.0,7930.0,1.881,1.78,Transit,2019.0,0,1458.83
HATS-71 b,HATS-71,3.7955202,0.03745,11.478016,117.5971,18.0832,586.8,3405.0,0.4783,0.4861,Transit,2020.0,0,140.225
HATS-72 b,HATS-72,7.3279474,0.066517,8.0973816,39.855882,49.58,739.3,4656.1,0.7214,0.7311,Transit,2020.0,0,127.589
HATS-74 A b,HATS-74 A,1.73185606,0.02384,11.56766808,464.02947422,106.9,895.1,3776.9,0.5758,0.601,Transit,2021.0,0,299.389
HATS-75 b,HATS-75,2.7886556,0.032742,9.90873894,156.05374784,59.26,772.3,3790.4,0.5848,0.6017,Transit,2021.0,0,194.964
HATS-76 b,HATS-76,1.9416423,0.02658,12.09449018,835.570882,129.8,939.8,4016.0,0.6259,0.662,Transit,2021.0,0,385.689
HATS-77 b,HATS-77,3.0876262,0.03607,13.05846252,436.69623122,78.37,828.3,4071.0,0.6428,0.655,Transit,2021.0,0,436.176
HATS-8 b,HATS-8,3.583893,0.04667,9.785457,43.86054,510.8195,1324.0,5679.0,1.086,1.056,Transit,2015.0,0,794.637
HATS-9 b,HATS-9,1.915291,0.0312,13.85,266.02371,2292.0839,1746.0,5599.0,1.56,1.1,Transit,2015.0,0,638.7
HD 100508 b,HD 100508,5681.0,6.11,13.7,381.3940884,,,5419.0,1.0179,0.94,Radial Velocity,2026.0,0,32.7548
HD 100655 b,HD 100655,157.57001,0.68,13.5,511.7063,,,4891.0,10.06,2.28,Radial Velocity,2011.0,0,137.178
HD 100777 b,HD 100777,383.0,1.06,13.7,390.92894061,,,5533.0,1.04,1.08,Radial Velocity,2007.0,0,49.5336
HD 101581 b,HIP 56998,4.46569,0.046,0.956,0.827,80.0,834.0,4675.0,0.63,0.653,Transit,2025.0,0,12.7781
HD 101581 c,HIP 56998,6.20401,0.0573,0.99,0.937,52.0,747.0,4675.0,0.63,0.653,Transit,2025.0,0,12.7781
HD 10180 e,HD 10180,49.748,0.2699,5.39,25.1,,,5911.0,1.109,1.06,Radial Velocity,2010.0,0,38.9607
HD 10180 f,HD 10180,122.744,0.4929,5.24,23.9,,,5911.0,1.109,1.06,Radial Velocity,2010.0,0,38.9607
HD 10180 h,HD 10180,2205.0,3.381,9.4,64.4,,,5911.0,1.109,1.06,Radial Velocity,2010.0,0,38.9607
HD 101930 b,HD 101930,70.46,0.3,10.6,79.4575,,,5108.0,0.86,0.57,Radial Velocity,2005.0,0,30.0274
HD 102117 b,HD 102117,20.8133,0.15,8.47,54.0311,,,5655.0,1.23,1.06,Radial Velocity,2005.0,0,39.5792
HD 102195 b,HD 102195,4.11377,0.05,14.2,130.3103,,,5301.0,0.82,0.76,Radial Velocity,2006.0,0,29.3386
HD 102272 b,HD 102272,127.58,0.51,12.9,1570.0802,,,4790.0,10.3,1.45,Radial Velocity,2008.0,0,347.097
HD 102329 b,HD 102329,778.09998,1.81,12.6,2593.4928,,,4745.0,9.82,3.21,Radial Velocity,2011.0,0,217.107
HD 102843 b,HD 102843,3090.942,4.074,13.1,113.9,,,5436.0,0.961488,0.95,Radial Velocity,2019.0,0,62.758
HD 102888 b,HD 102888,252.06,1.05,12.8,1808.44363583,,,4990.0,8.6,2.42,Radial Velocity,2025.0,0,126.484
HD 102956 b,HD 102956,6.4947,0.0807,13.8,305.1168,,,4985.0,4.55,1.66,Radial Velocity,2010.0,0,121.89
HD 103197 b,HD 103197,47.84,0.25,5.83,28.6047,,,5250.0,0.88,0.8,Radial Velocity,2009.0,0,57.1463
HD 103720 b,HD 103720,4.5557,0.0498,14.1,197.046,,,5017.0,0.73,0.794,Radial Velocity,2014.0,0,45.5352
HD 103774 b,HD 103774,5.8881,0.07,13.3,116.0,,,6489.0,1.581047,1.335,Radial Velocity,2013.0,0,56.4089
HD 103891 b,HD 103891,1919.0,3.27,13.2,918.52409623,,,6072.0,2.22,1.28,Radial Velocity,2022.0,0,55.5213
HD 103949 b,HD 103949,120.878,0.439,3.35,11.2,,,4792.0,0.753113,0.77,Radial Velocity,2019.0,0,26.4997
HD 104067 b,HD 104067,55.851,0.2674,9.2,62.1,,,4952.0,0.78,0.82,Radial Velocity,2009.0,0,20.3632
HD 104067 c,HD 104067,13.8992,0.1058,3.69,13.2,,,4952.0,0.78,0.82,Radial Velocity,2024.0,0,20.3632
HD 10442 b,HD 10442,1032.3,2.01,13.6,472.61321,,,4912.0,1.97,1.01,Radial Velocity,2014.0,0,135.374
HD 104985 b,HD 104985,199.68,0.715,12.8,1766.80811451,,,4738.0,11.12,1.22,Radial Velocity,2003.0,0,100.576
HD 105618 b,HD 105618,10.02245,0.091,5.44,25.42627256,,,5671.0,1.27399,1.01,Radial Velocity,2022.0,0,70.0837
HD 105618 c,HD 105618,77114.07158,35.731,11.9,8419.59232984,,,5671.0,1.27399,1.01,Radial Velocity,2022.0,0,70.0837
HD 105779 b,HD 105779,2412.0,3.38,14.1,203.41018048,,,5792.0,0.94,0.89,Radial Velocity,2022.0,0,55.2411
HD 106252 b,HD 106252,1535.0,2.655,12.5,3178.28407,,,5874.0,1.05,1.05,Radial Velocity,2002.0,0,38.185
HD 106270 b,HD 106270,1888.0,3.34,12.4,3623.2438398,,,5509.0,2.66,1.39,Radial Velocity,2011.0,0,93.808
HD 106315 b,HD 106315,9.55237,0.0907,2.44,12.6,277.0,1153.0,6327.0,1.296,1.091,Transit,2017.0,0,109.353
HD 106315 c,HD 106315,21.05704,0.1536,4.35,15.2,97.0,886.0,6327.0,1.296,1.091,Transit,2017.0,0,109.353
HD 10647 b,HD 10647,989.2,2.015,13.8,298.75,,,6218.0,1.1,1.11,Radial Velocity,2006.0,0,17.3357
HD 106515 A b,HD 106515 A,3626.0,4.48,12.1,6006.9568923,,,5362.0,0.91,0.89,Radial Velocity,2012.0,0,34.0915
HD 106906 b,HD 106906,,650.0,12.4,3496.0,,1800.0,6516.0,2.12351,1.5,Imaging,2013.0,0,103.029
HD 10697 b,HD 10697,1075.3799,2.051,12.8,1825.2885414,,,5641.0,1.863076,0.99,Radial Velocity,1999.0,0,33.1205
HD 107148 b,HD 107148,48.056,0.269,9.6,66.741,,,5797.0,1.169193,1.12,Radial Velocity,2005.0,0,49.4156
HD 107148 c,HD 107148,18.3267,0.1407,4.7,19.89605828,,,5752.92,1.169193,1.105215,Radial Velocity,2021.0,0,49.4156
HD 108147 b,HD 108147,10.8985,0.102,10.9,82.95,,890.0,6255.73,1.20664,1.22,Radial Velocity,2002.0,0,38.92
HD 108202 b,HD 108202,2990.0,3.7,13.1,953.485221,,,4556.03,0.66355,0.74,Radial Velocity,2023.0,0,38.6846
HD 108236 b,HD 108236,3.795963,0.04527,1.615,3.24,312.1807,1099.0,5660.0,0.877,0.869,Transit,2020.0,0,64.5978
HD 108236 c,HD 108236,6.203449,0.062,2.071,4.94,162.1675,932.0,5660.0,0.877,0.869,Transit,2020.0,0,64.5978
HD 108236 e,HD 108236,19.590025,0.1367,3.083,9.71,35.0031,636.0,5660.0,0.877,0.869,Transit,2020.0,0,64.5978
HD 108236 f,HD 108236,29.54115,0.1758,2.017,4.72,,,5660.0,0.877,0.869,Transit,2021.0,0,64.5978
HD 108341 b,HD 108341,1129.0,2.0,13.3,715.11391575,,,5122.0,0.79,0.843,Radial Velocity,2014.0,0,48.9102
HD 108863 b,HD 108863,437.7,1.32,13.3,767.24162,,,4878.0,5.74,1.59,Radial Velocity,2011.0,0,164.742
HD 108874 b,HD 108874,394.48123,1.04,13.6,451.3186,,,5600.0,1.05,1.1,Radial Velocity,2002.0,0,59.5175
HD 108874 c,HD 108874,1624.0,2.659,13.8,314.64,,,5551.0,1.05,0.95,Radial Velocity,2005.0,0,59.5175
HD 109246 b,HD 109246,68.27,0.33,13.9,273.3338,,,5844.0,1.07,1.2,Radial Velocity,2010.0,0,67.8349
HD 109271 b,HD 109271,7.8543,0.079,4.31,17.162,,,5783.0,1.294595,1.047,Radial Velocity,2013.0,0,55.8716
HD 109271 c,HD 109271,30.93,0.196,5.27,24.154,,,5783.0,1.294595,1.047,Radial Velocity,2013.0,0,55.8716
HD 109286 b,HD 109286,520.1,1.259,13.2,950.30693693,0.709,259.4,5694.0,1.089,0.98,Radial Velocity,2021.0,0,55.4156
HD 109749 b,HD 109749,5.239891,0.0615,11.1,85.8141,,,5824.0,1.22,1.13,Radial Velocity,2005.0,0,63.0821
HD 10975 b,HD 10975,283.8,0.95,14.3,143.02278315,,,4840.0,11.16,1.41,Radial Velocity,2021.0,0,116.506
HD 109833 b,HD 109833,9.188526,,2.888,8.69,63.4589,786.0,5881.0,1.0,1.08,Transit,2022.0,0,79.5561
HD 109833 c,HD 109833,13.900148,,2.59,7.22,77.4842,756.7,5881.0,1.0,1.08,Transit,2022.0,0,79.5561
HD 109988 b,HD 109988,17132.15854,12.518,12.1,6935.33366915,,,5185.97,0.869694,0.88,Radial Velocity,2022.0,0,42.5279
HD 110014 b,HD 110014,835.477,2.14,12.4,3524.59,,,4445.0,20.9,2.17,Radial Velocity,2009.0,0,100.758
HD 110067 b,HD 110067,9.113678,0.0793,2.2,5.69,,800.0,5266.0,0.788,0.798,Transit,2023.0,0,32.1585
HD 110067 c,HD 110067,13.673694,0.1039,2.388,6.3,,699.0,5266.0,0.788,0.798,Transit,2023.0,0,32.1585
HD 110067 d,HD 110067,20.519617,0.1362,2.852,8.52,,602.0,5266.0,0.788,0.798,Transit,2023.0,0,32.1585
HD 110067 e,HD 110067,30.793091,0.1785,1.94,3.9,,533.0,5266.0,0.788,0.798,Transit,2023.0,0,32.1585
HD 110067 f,HD 110067,41.05854,0.2163,2.601,5.04,,489.0,5266.0,0.788,0.798,Transit,2023.0,0,32.1585
HD 110067 g,HD 110067,54.76992,0.2621,2.607,8.4,,440.0,5266.0,0.788,0.798,Transit,2023.0,0,32.1585
HD 110082 b,HD 110082,10.18271,0.113,3.2,10.3,198.3948,957.2,6200.0,1.19,1.21,Transit,2021.0,0,105.096
HD 110113 b,HD 110113,2.541,0.035,2.05,4.55,735.49,1371.0,5732.0,0.968,0.997,Transit,2021.0,0,106.307
HD 110113 c,HD 110113,6.744,0.068,2.11384817,10.5,199.9,990.0,5732.0,0.968,0.997,Radial Velocity,2021.0,0,106.307
HD 110537 b,HD 110537,24469.67342,16.714,11.9,8612.83200129,,,5718.0,1.16626,1.02,Radial Velocity,2022.0,0,45.0858
HD 11112 b,HD 11112,17244.90764,13.38,12.6,2598.56505563,,,5905.64,1.47368,1.07,Radial Velocity,2022.0,0,44.3804
HD 111232 b,HD 111232,1169.13202,2.148,12.6,2531.50326176,,,5512.0,0.9,0.96,Radial Velocity,2003.0,0,28.9571
HD 111232 c,HD 111232,26472.44623,17.25,12.2,5740.93451564,,,5512.0,0.9,0.96,Radial Velocity,2022.0,0,28.9571
HD 111591 b,HD 111591,1056.4,2.5,12.9,1398.452,,,4884.0,8.03,1.94,Radial Velocity,2017.0,0,114.166
HD 111998 b,HD 111998,810.0,1.91,12.9,1525.5763536,,,6557.0,1.45,1.4,Radial Velocity,2016.0,0,33.2237
HD 112300 b,HD 112300,466.63,1.33,12.2,5031.22368281,,,3657.0,65.8,1.4,Radial Velocity,2023.0,0,62.07324
HD 112570 b,HD 112570,2615.0,3.9,13.1,1086.97315194,,,4750.0,9.85,1.15,Radial Velocity,2023.0,0,101.166
HD 112640 b,HD 112640,613.2,1.7,12.9,1589.15,,,4155.0,39.0,1.8,Radial Velocity,2020.0,0,323.335
HD 113337 b,HD 113337,317.58639,1.022,13.1,1035.80277841,,,6774.0,1.5,1.41,Radial Velocity,2013.0,0,36.18
HD 113337 c,HD 113337,5429.93477,6.805,12.1,6299.67685515,,,6774.0,1.5,1.41,Radial Velocity,2020.0,0,36.18
HD 11343 c,HIP 8541,228.53731,0.923,13.9,255.53403923,,,4672.0,6.84,2.009,Radial Velocity,2022.0,0,155.121
HD 113538 b,HD 113538,663.2,1.24,13.2,114.41,,,4462.0,0.53,0.585,Radial Velocity,2010.0,0,16.2817
HD 113538 c,HD 113538,1818.0,2.44,13.8,295.57,,,4462.0,0.53,0.585,Radial Velocity,2010.0,0,16.2817
HD 113996 b,HD 113996,610.2,1.6,12.7,2002.329,,,4181.0,25.11,1.49,Radial Velocity,2017.0,0,116.334
HD 114082 b,HD 114082,109.75,0.5109,11.2089807,2542.627256,,,6651.0,1.49,1.47,Radial Velocity,2022.0,0,95.3906
HD 114386 b,HD 114386,937.70001,1.73,13.6,464.02947422,,,4836.0,0.76,0.6,Radial Velocity,2003.0,0,27.9243
HD 114386 c,HD 114386,444.0,1.05,13.4,117.59651059,,,4895.0,0.76,0.8,Radial Velocity,2026.0,0,27.9243
HD 114729 b,HD 114729,1121.79,2.067,13.9,262.20975,,,5844.0,1.473,0.936,Radial Velocity,2002.0,0,37.8063
HD 114783 b,HD 114783,493.7,1.16,13.7,349.6,,,5135.0,0.840622,0.853,Radial Velocity,2001.0,0,21.0628
HD 114783 c,HD 114783,4352.0,5.0,13.4,603.8739733,,,5135.0,0.840622,0.9,Radial Velocity,2018.0,0,21.0628
HD 11505 b,HD 11505,32669.22247,20.247,12.6,2510.52658689,,,5757.15,1.19568,1.03,Radial Velocity,2022.0,0,38.9679
HD 11506 b,HD 11506,1617.7,2.885,12.9,1551.00262616,,,6123.0,1.24,1.22,Radial Velocity,2007.0,0,51.261
HD 11506 c,HD 11506,223.92,0.771,14.0,127.1313628,,,6123.0,1.24,1.22,Radial Velocity,2008.0,0,51.261
HD 11506 d,HD 11506,26500.0,18.2,12.3,4068.2036096,,,6123.0,1.24,1.22,Radial Velocity,2022.0,0,51.261
HD 115404 A b,HD 115404 A,10.49488,0.088,6.09,30.82935548,,,5019.17,0.727007,0.83,Radial Velocity,2022.0,0,10.9816
HD 115404 A c,HD 115404 A,15319.22517,11.364,12.5,3279.67133183,,,5019.17,0.727007,0.83,Radial Velocity,2022.0,0,10.9816
HD 115954 b,HD 115954,3700.0,5.0,12.6,2685.65003915,0.064,144.9,5957.0,1.213,1.18,Radial Velocity,2021.0,0,87.6437
HD 116029 b,HD 116029,670.0,1.65,13.6,444.962,,,4819.0,4.89,0.83,Radial Velocity,2011.0,0,123.245
HD 117207 b,HD 117207,2621.75,3.787,13.4,669.34662514,,,5732.0,1.074,1.053,Radial Velocity,2004.0,0,32.3547
HD 11755 b,HD 11755,433.70001,1.09,12.8,1789.3829,,,4312.0,20.58,0.72,Radial Velocity,2015.0,0,235.045
HD 117618 b,HD 117618,25.8,0.18,8.59,55.30242,,,5990.0,1.2,1.077,Radial Velocity,2004.0,0,37.7781
HD 118203 b,HD 118203,6.1349779,0.0713,12.778238,680.15279098,593.4,1361.0,5742.0,2.04,1.27,Radial Velocity,2005.0,0,92.2589
HD 118203 c,HD 118203,5103.0,6.28,12.4,3747.19691853,,146.0,5742.0,2.04,1.27,Radial Velocity,2024.0,0,92.2589
HD 11964 b,HD 11964,1945.0,3.16,14.1,198.0,,,5303.0,2.00971,0.91,Radial Velocity,2005.0,0,33.5369
HD 11964 c,HD 11964,37.91,0.229,5.38,25.0,,,5303.0,2.00971,0.91,Radial Velocity,2008.0,0,33.5369
HD 11977 b,HD 11977,711.0,1.93,12.7,2080.0,,,4970.0,10.09,1.91,Radial Velocity,2005.0,0,67.9331
HD 120084 b,HD 120084,2142.0,4.21,12.7,2034.1018048,,,4879.0,10.37,2.16,Radial Velocity,2013.0,0,103.044
HD 121504 b,HD 121504,63.33,0.33,13.6,479.9233,,,6027.0,1.07,1.62,Radial Velocity,2003.0,0,41.6592
HD 12235 b,HD 12235,4.36305,0.054,3.23,10.48833743,,,5986.0,1.80185,1.1,Radial Velocity,2022.0,0,31.7627
HD 12235 c,HD 12235,36336.70679,22.21,12.5,3135.69506346,,,5986.0,1.80185,1.1,Radial Velocity,2022.0,0,31.7627
HD 122562 c,HD 122562,84.96276,0.406,10.1,73.10053361,,,4956.0,2.16627,1.241,Radial Velocity,2022.0,0,53.2528
HD 124330 b,HD 124330,270.66,0.86,14.0,238.37130525,,,5873.0,1.30446,1.15,Radial Velocity,2021.0,0,60.1977
HD 12484 b,HD 12484,58.83,0.297,13.2,947.1334,,,5920.0,1.001848,1.01,Radial Velocity,2016.0,0,48.3367
HD 125271 b,HD 125271,14901.99295,10.817,12.4,3465.60094993,,,4703.93,0.751364,0.75,Radial Velocity,2022.0,0,39.3466
HD 125390 b,HD 125390,1757.39151,3.496,11.9,8646.20398403,,,4882.0,6.47,1.82,Radial Velocity,2019.0,0,153.647
HD 125612 b,HD 125612,557.69994,1.349,13.2,945.22168242,,,5900.0,1.07,1.05,Radial Velocity,2007.0,0,57.6207
HD 125612 c,HD 125612,4.15466,0.051,4.07,15.57359194,,,5900.0,1.07,1.05,Radial Velocity,2009.0,0,57.6207
HD 125612 d,HD 125612,2822.72698,3.982,12.7,2281.37230545,,,5900.0,1.07,1.05,Radial Velocity,2009.0,0,57.6207
HD 12648 b,HD 12648,133.60001,0.54,13.4,622.9468,,,4835.0,11.02,0.67,Radial Velocity,2015.0,0,182.192
HD 126525 b,HD 126525,960.41,1.837,10.3,75.32571,,,5638.0,0.979,0.897,Radial Velocity,2018.0,0,37.6506
HD 12661 b,HD 12661,262.70862,0.84,13.3,772.3269,,,5645.0,1.2,1.2,Radial Velocity,2000.0,0,37.8478
HD 12661 c,HD 12661,1708.0,2.8145,13.2,899.45439181,,,5748.0,1.11,1.02,Radial Velocity,2002.0,0,37.8478
HD 126614 b,HD 126614,1257.25303,2.249,12.7,107.74382997,,,5568.0,1.369794,0.96,Radial Velocity,2009.0,0,73.0961
HD 127506 b,HD 127506,65.78395,0.287,5.67,27.333243,,,4595.32,0.735766,0.73,Radial Velocity,2022.0,0,22.5279
HD 128311 b,HD 128311,453.019,1.084,13.5,562.24127,,,4965.0,0.76,0.828,Radial Velocity,2002.0,0,16.3292
HD 128311 c,HD 128311,921.538,1.74,13.0,1204.25787,,,4965.0,0.76,0.828,Radial Velocity,2005.0,0,16.3292
HD 128356 b,HD 128356,298.2,0.87,13.9,282.8687,,,4875.0,0.85,0.65,Radial Velocity,2016.0,0,26.1548
HD 128717 b,HD 128717,3420.0,4.85,12.1,6293.0024586,,,6210.0,1.248,1.212,Astrometry,2025.0,0,73.636
HD 129445 b,HD 129445,1840.0,2.9,13.3,797.74930157,,,5646.0,1.175816,0.99,Radial Velocity,2009.0,0,67.4386
HD 130322 b,HD 130322,10.70871,0.0925,13.7,365.49,,720.0,5387.0,0.85,0.92,Radial Velocity,1999.0,0,31.8766
HD 131496 b,HD 131496,896.0,2.01,13.4,572.094,,,4846.0,4.44,1.34,Radial Velocity,2011.0,0,131.849
HD 13167 b,HD 13167,2613.0,4.1,13.1,1052.0173,,,5671.0,2.39,1.35,Radial Velocity,2018.0,0,148.934
HD 13189 b,HD 13189,471.60001,1.25,12.4,3480.2385,,,4175.0,38.41,2.24,Radial Velocity,2005.0,0,497.823
HD 132406 b,HD 132406,908.0,1.98,12.8,1887.90073758,,,5766.0,1.34,0.973,Radial Velocity,2007.0,0,70.7832
HD 132563 b,HD 132563,1544.0,2.62,13.6,473.547,,,6289.0,1.29577,1.231,Radial Velocity,2011.0,0,105.155
HD 133131 A b,HD 133131 A,649.0,1.44,13.6,451.3186,,,5799.0,0.955014,0.95,Radial Velocity,2016.0,0,51.4736
HD 133131 A c,HD 133131 A,3568.0,4.49,14.3,133.4886,,,5799.0,0.955014,0.95,Radial Velocity,2016.0,0,51.4736
HD 133131 B b,HD 133131 B,5769.0,6.15,13.3,794.575,,,5805.0,0.989538,0.93,Radial Velocity,2016.0,0,51.2993
HD 134060 b,HD 134060,3.2696,0.0444,3.16,10.1,,,5966.0,1.164285,1.095,Radial Velocity,2019.0,0,24.0125
HD 134060 c,HD 134060,1291.5646,2.3928,5.91,29.29,,,5966.0,1.164285,1.095,Radial Velocity,2019.0,0,24.0125
HD 134606 b,HD 134606,12.089,0.1046,2.97,9.09,,,5576.0,1.158,1.046,Radial Velocity,2024.0,0,26.7909
HD 134606 c,HD 134606,58.883,0.3007,3.37,11.31,,,5576.0,1.158,1.046,Radial Velocity,2024.0,0,26.7909
HD 134606 d,HD 134606,966.5,1.941,7.59,44.8,,,5576.0,1.158,1.046,Radial Velocity,2024.0,0,26.7909
HD 134606 e,HD 134606,4.3203,0.0527,1.33,2.34,,,5576.0,1.158,1.046,Radial Velocity,2024.0,0,26.7909
HD 134606 f,HD 134606,26.915,0.1784,2.24,5.63,,,5576.0,1.158,1.046,Radial Velocity,2024.0,0,26.7909
HD 134987 b,HD 134987,258.17999,0.81,13.5,511.7063,,,5736.0,1.22,1.1,Radial Velocity,1999.0,0,26.1804
HD 134987 c,HD 134987,5000.0,5.8,13.9,260.0,,,5585.0,1.25,1.1,Radial Velocity,2009.0,0,26.1804
HD 135344 A b,HD 135344 A,,16.5,16.25302201,3178.28407,,1585.0,9540.0,1.5,2.32,Imaging,2025.0,0,141.595
HD 135625 b,HD 135625,4055.0,5.4,13.3,731.0053361,,,6040.64,1.35743,1.28,Radial Velocity,2023.0,0,56.518
HD 135694 b,HD 135694,15.923475568,0.124695,2.857,6.1,71.8,750.83,5712.0,1.08,1.02,Transit,2023.0,0,73.8713
HD 135872 b,HD 135872,2422.32597,4.172,12.8,1744.56012602,,,4992.0,3.93038,1.646,Radial Velocity,2022.0,0,82.4251
HD 136118 b,HD 136118,1187.59765,2.327,12.3,4164.18778851,,,6097.0,1.67754,1.18,Radial Velocity,2022.0,0,51.4359
HD 136352 b,HD 136352,11.57797,0.0964,1.664,4.72,111.6,905.0,5664.0,1.058,0.87,Radial Velocity,2019.0,0,14.682
HD 136352 c,HD 136352,27.59221,0.1721,2.916,11.24,35.1,677.0,5664.0,1.058,0.87,Radial Velocity,2019.0,0,14.682
HD 136352 d,HD 136352,107.245,0.425,2.562,8.82,5.74,431.0,5664.0,1.058,0.87,Radial Velocity,2019.0,0,14.682
HD 136418 b,HD 136418,464.29999,1.29,13.3,680.1562,,,4989.0,3.78,1.48,Radial Velocity,2009.0,0,105.168
HD 136925 b,HD 136925,4540.0,5.13,13.9,266.97586188,,,5773.19,1.193078,0.875104,Radial Velocity,2021.0,0,47.874
HD 13724 c,HD 13724,142.22895,0.534,8.18,50.85254512,,,5835.31,1.04198,1.004,Radial Velocity,2022.0,0,43.465
HD 137388 b,HD 137388,330.0,0.89,9.32,63.566,,,5181.0,0.88,0.68,Radial Velocity,2011.0,0,40.4841
HD 137496 b,HD 137496,1.62116,0.02732,1.31,4.04,,2130.0,5799.0,1.59,1.04,Transit,2021.0,0,155.317
HD 137496 c,HD 137496,479.9,1.2163,12.6,2434.56559762,,370.0,5799.0,1.59,1.04,Radial Velocity,2021.0,0,155.317
HD 13808 b,HD 13808,14.1815,0.10519,3.35,11.2,,,5035.0,0.781,0.771,Radial Velocity,2021.0,0,28.2305
HD 13808 c,HD 13808,53.753,0.2554,3.13,9.96,,,5035.0,0.781,0.771,Radial Velocity,2021.0,0,28.2305
HD 13908 b,HD 13908,19.382,0.154,13.9,274.91,,,6255.0,1.67,1.29,Radial Velocity,2013.0,0,79.5515
HD 13908 c,HD 13908,931.0,2.03,12.8,1630.4,,,6255.0,1.67,1.29,Radial Velocity,2013.0,0,79.5515
HD 13931 b,HD 13931,4218.0,5.15,13.2,889.9195396,,,5867.0,1.25,1.3,Radial Velocity,2009.0,0,47.3963
HD 139357 b,HD 139357,1124.79139,2.949,12.1,6315.5682755,,,4700.0,11.47,2.69,Radial Velocity,2008.0,0,112.09
HD 1397 b,HD 1397,11.53533,0.1097,11.500434,131.89945,356.0,1228.3,5521.0,2.336,1.324,Transit,2018.0,0,79.5702
HD 14067 b,HD 14067,2744.0,5.15,12.2,4862.7746271,,,4815.0,12.4,2.4,Radial Velocity,2014.0,0,142.024
HD 140901 b,HD 140901,9.02378,0.085,4.07,15.57359194,,,5610.0,0.95,0.99,Radial Velocity,2022.0,1,15.2528
HD 140901 c,HD 140901,14386.0,11.8,13.4,572.0911326,,,5610.0,0.95,1.06,Radial Velocity,2022.0,0,15.2528
HD 141004 b,HD 141004,15.5083,0.1238,3.77,13.63483866,,,5885.38,1.389372,1.051904,Radial Velocity,2021.0,0,11.8148
HD 141399 b,HD 141399,94.44,0.415,14.3,143.34133,,,5600.0,1.387236,1.07,Radial Velocity,2014.0,0,37.0169
HD 141399 c,HD 141399,201.99,0.689,13.6,422.7139,,,5600.0,1.387236,1.07,Radial Velocity,2014.0,0,37.0169
HD 141399 d,HD 141399,1069.8,2.09,13.7,375.0394,,,5600.0,1.387236,1.07,Radial Velocity,2014.0,0,37.0169
HD 141399 e,HD 141399,5000.0,5.0,14.1,209.7678,,,5600.0,1.387236,1.07,Radial Velocity,2014.0,0,37.0169
HD 141937 b,HD 141937,653.21997,1.5,11.9,8714.85491994,,,5870.0,1.03,1.09,Radial Velocity,2002.0,0,33.3622
HD 142 A d,HD 142,108.45299,0.474,10.9,82.63538582,,,6245.0,1.47,1.21,Radial Velocity,2022.0,0,26.1853
HD 142 b,HD 142,351.43394,1.039,12.7,2256.5816897,,,6245.0,1.47,1.21,Radial Velocity,2001.0,0,26.1853
HD 142 c,HD 142,10159.64279,9.811,12.4,3464.64746471,,,6245.0,1.47,1.21,Radial Velocity,2012.0,0,26.1853
HD 142022 A b,HD 142022 A,1928.0,2.93,12.9,1433.40611557,,,5421.0,1.04,0.9,Radial Velocity,2005.0,0,34.2802
HD 142245 b,HD 142245,1299.0,2.78,13.1,975.7381,,,4922.0,4.63,3.5,Radial Velocity,2011.0,0,97.2305
HD 142415 b,HD 142415,386.29999,1.06,13.5,530.7761,,,5940.0,1.04,1.07,Radial Velocity,2003.0,0,35.5318
HD 143105 b,HD 143105,2.1974,0.0379,13.7,384.5743,,,6380.0,1.647304,1.51,Radial Velocity,2016.0,0,46.7789
